Address Type,Wallet Name,Asset,Asset Name,Address,Tag/Memo,Balance
Internal,CoinBase EU,GALA,Gala,0x8102B708b2D73F377CDb84FaBBC7c5158917e804,,0
Internal,CoinBase EU,FET,Fetch,0xf9f1DC3f3F1313C46B57E8dADFb4A4866D3c042C,,0
Internal,CoinBase EU,CRV,Curve DAO Token,0xc5fBE24750426E5e0A78fFF99160b46921500E2C,,0
Internal,CoinBase EU,ANKR,Ankr Network,0xB86177b374174D2f54493f73a085cdd7Bdf4C689,,0
Internal,CoinBase EU,LPT,Livepeer Token,0x39fbe59D5e4AF7895380F290FBe0F6Fb08FD6F19,,49.55
Internal,CoinBase EU,UNI,Uniswap,0xABCB1Ffa6391Bf457FcCDdC64Dc0F78942C4606b,,0
Internal,CoinBase EU,CTSI,Cartesi Token,0xe8230722bBBE5aaB4A19b38caeF4E8d65e548e08,,0
Internal,CoinBase EU,SAND,SAND,0xd4Fcc7D21fB4c941B89152729A12f87F311f4b5E,,0
Internal,CoinBase EU,REN,Republic,0x5020d33c8802c5d8142Af128a458e5c1e289Bac4,,0
Internal,CoinBase EU,BAT,Basic Attn.,0x93b89b4FB32DD8e0BC467c5d761bC61bff954e1f,,0
Internal,CoinBase EU,MATIC,Matic Token (Ethereum),0x46D1dFcF04f84146cE0C1E25FF805f661b7B1cBb,,0
Internal,CoinBase EU,ETC,Ethereum Classic,0xe512CE0A1722Df4a947ae56269759582E250721B,,0
Internal,CoinBase EU,USDT_ERC20,Tether USD (Ethereum),0xaA75266d1c208fB3AB5366DC7BA89a1863084dF2,,0
Internal,CoinBase EU,DOT,Polkadot,13cfg7T8ToRKST8Xm2uYUBh8fJ2DF1Evnx4bPzj6hE5eavsH,,0
Internal,CoinBase EU,BCH,Bitcoin Cash,1L4vdTnhkDmFzbkPCRjMcG3mHi5cW3WmN9,,0
Internal,CoinBase EU,BICO,Biconomy Token,0xD2B3d7e977bacE1c0124c7D9dC9e3746462EbbF6,,31439.73
Internal,CoinBase EU,ALICE,ALICE,0xfa9eb99D1Ed2B44818C2B64d71D404041D8D27Ee,,0
Internal,CoinBase EU,IMX_ERC20,Immutable X,0x4bbD3D8916B058C5F1D36a154E911Ad5E107e0Fe,,862.46
Internal,CoinBase EU,KNC,Kyber Network Crystal v2,0x94B6BCec76F221F08995533baC4d9DF92E58F594,,10078.8
Internal,CoinBase EU,BAL,Balancer,0xcE985B6f1c90Ce334E5cB5EEddD175E56Ea07aE0,,0
Internal,CoinBase EU,LRC,Loopring,0xe37e486931621171ad7D1381CDf9Cc2d65c0B801,,0
Internal,CoinBase EU,XLM,Stellar,GDQP2KPQGKIHYJGXNUIYOMHARUARCA7DJT5FO2FFOOKY3B2WSQHG4W37,3530450697,39.99999
Internal,CoinBase EU,AAVE,Aave Token,0xce13490E79DC3CB9Cd8BbA78f2aCc5F578868BB6,,139.38
Internal,CoinBase EU,DOGE,Doge Coin,DE4L8jKFX4qedExYjCy7CGJVtDoTbKsEWM,,0
Internal,CoinBase EU,CELO,Celo,0xC910962169FaB704EF1F7Af60c2f8c00FB1Fe6B4,,0.0000895
Internal,CoinBase EU,ENJ,Enjin Coin,0x4752d9022FEe2Aa6635f3564636365FBDA36c630,,0
Internal,CoinBase EU,SHIB,SHIBA INU,0xFE383D500e6813C0C043Aa554A2aD898e6A27bf2,,0
